team,date,wins,losses,ties
cardinals,1987,7,8,0
cardinals,1988,7,9,0
cardinals,1989,5,11,0
cardinals,1990,5,11,0
cardinals,1991,4,12,0
cardinals,1992,4,12,0
cardinals,1993,7,9,0
cardinals,1994,8,8,0
cardinals,1995,4,12,0
cardinals,1996,7,9,0
cardinals,1997,4,12,0
cardinals,1998,9,7,0
cardinals,1999,6,10,0
cardinals,2000,3,13,0
cardinals,2001,7,9,0
cardinals,2002,5,11,0
cardinals,2003,4,12,0
cardinals,2004,6,10,0
cardinals,2005,5,11,0
cardinals,2006,5,11,0
cardinals,2007,8,8,0
cardinals,2008,9,7,0
cardinals,2009,10,6,0
cardinals,2010,5,11,0
cardinals,2011,8,8,0
cardinals,2012,5,11,0
ravens,1996,4,12,0
ravens,1997,6,9,1
ravens,1998,6,10,0
ravens,1999,8,8,0
ravens,2000,12,4,0
ravens,2001,10,6,0
ravens,2002,7,9,0
ravens,2003,10,6,0
ravens,2004,9,7,0
ravens,2005,6,10,0
ravens,2006,13,3,0
ravens,2007,5,11,0
ravens,2008,11,5,0
ravens,2009,9,7,0
ravens,2010,12,4,0
ravens,2011,12,4,0
ravens,2012,10,6,0
bills,1960,5,8,1
bills,1961,6,8,0
bills,1962,7,6,1
bills,1963,7,6,1
bills,1964,12,2,0
bills,1965,10,3,1
bills,1966,9,4,1
bills,1967,4,10,0
bills,1968,1,12,1
bills,1969,4,10,0
bills,1970,3,10,1
bills,1971,1,13,0
bills,1972,4,9,1
bills,1973,9,5,0
bills,1974,9,5,0
bills,1975,8,6,0
bills,1976,2,12,0
bills,1977,3,11,0
bills,1978,5,11,0
bills,1979,7,9,0
bills,1980,11,5,0
bills,1981,10,6,0
bills,1982,4,5,0
bills,1983,8,8,0
bills,1984,2,14,0
bills,1985,2,14,0
bills,1986,4,12,0
bills,1987,7,8,0
bills,1988,12,4,0
bills,1989,9,7,0
bills,1990,13,3,0
bills,1991,13,3,0
bills,1992,11,5,0
bills,1993,12,4,0
bills,1994,7,9,0
bills,1995,10,6,0
bills,1996,10,6,0
bills,1997,6,10,0
bills,1998,10,6,0
bills,1999,11,5,0
bills,2000,8,8,0
bills,2001,3,13,0
bills,2002,8,8,0
bills,2003,6,10,0
bills,2004,9,7,0
bills,2005,5,11,0
bills,2006,7,9,0
bills,2007,7,9,0
bills,2008,7,9,0
bills,2009,6,10,0
bills,2010,4,12,0
bills,2011,6,10,0
bills,2012,6,10,0
panthers,1995,7,9,0
panthers,1996,12,4,0
panthers,1997,7,9,0
panthers,1998,4,12,0
panthers,1999,8,8,0
panthers,2000,7,9,0
panthers,2001,1,15,0
panthers,2002,7,9,0
panthers,2003,11,5,0
panthers,2004,7,9,0
panthers,2005,11,5,0
panthers,2006,8,8,0
panthers,2007,7,9,0
panthers,2008,12,4,0
panthers,2009,8,8,0
panthers,2010,2,14,0
panthers,2011,6,10,0
panthers,2012,7,9,0
bears,1920,10,1,2
bears,1921,9,1,1
bears,1922,9,3,0
bears,1923,9,2,1
bears,1924,6,1,4
bears,1925,9,5,3
bears,1926,12,1,3
bears,1927,9,3,2
bears,1928,7,5,1
bears,1929,4,9,2
bears,1930,9,4,1
bears,1931,8,5,0
bears,1932,7,1,6
bears,1933,10,2,1
bears,1934,13,0,0
bears,1935,6,4,2
bears,1936,9,3,0
bears,1937,9,1,1
bears,1938,6,5,0
bears,1939,8,3,0
bears,1940,8,3,0
bears,1941,10,1,0
bears,1942,11,0,0
bears,1943,8,1,1
bears,1944,6,3,1
bears,1945,3,7,0
bears,1946,8,2,1
bears,1947,8,4,0
bears,1948,10,2,0
bears,1949,9,3,0
bears,1950,9,3,0
bears,1951,7,5,0
bears,1952,5,7,0
bears,1953,3,8,1
bears,1954,8,4,0
bears,1955,8,4,0
bears,1956,9,2,1
bears,1957,5,7,0
bears,1958,8,4,0
bears,1959,8,4,0
bears,1960,5,6,1
bears,1961,8,6,0
bears,1962,9,5,0
bears,1963,11,1,2
bears,1964,5,9,0
bears,1965,9,5,0
bears,1966,5,7,2
bears,1967,7,6,1
bears,1968,7,7,0
bears,1969,1,13,0
bears,1970,6,8,0
bears,1971,6,8,0
bears,1972,4,9,1
bears,1973,3,11,0
bears,1974,4,10,0
bears,1975,4,10,0
bears,1976,7,7,0
bears,1977,9,5,0
bears,1978,7,9,0
bears,1979,10,6,0
bears,1980,7,9,0
bears,1981,6,10,0
bears,1982,3,6,0
bears,1983,8,8,0
bears,1984,10,6,0
bears,1985,15,1,0
bears,1986,14,2,0
bears,1987,11,4,0
bears,1988,12,4,0
bears,1989,6,10,0
bears,1990,11,5,0
bears,1991,11,5,0
bears,1992,5,11,0
bears,1993,7,9,0
bears,1994,9,7,0
bears,1995,9,7,0
bears,1996,7,9,0
bears,1997,4,12,0
bears,1998,4,12,0
bears,1999,6,10,0
bears,2000,5,11,0
bears,2001,13,3,0
bears,2002,4,12,0
bears,2003,7,9,0
bears,2004,5,11,0
bears,2005,11,5,0
bears,2006,13,3,0
bears,2007,7,9,0
bears,2008,9,7,0
bears,2009,7,9,0
bears,2010,11,5,0
bears,2011,8,8,0
bears,2012,10,6,0
bengals,1968,3,11,0
bengals,1969,4,9,1
bengals,1970,8,6,0
bengals,1971,4,10,0
bengals,1972,8,6,0
bengals,1973,10,4,0
bengals,1974,7,7,0
bengals,1975,11,3,0
bengals,1976,10,4,0
bengals,1977,8,6,0
bengals,1978,4,12,0
bengals,1979,4,12,0
bengals,1980,6,10,0
bengals,1981,12,4,0
bengals,1982,7,2,0
bengals,1983,7,9,0
bengals,1984,8,8,0
bengals,1985,7,9,0
bengals,1986,10,6,0
bengals,1987,4,11,0
bengals,1988,12,4,0
bengals,1989,8,8,0
bengals,1990,9,7,0
bengals,1991,3,13,0
bengals,1992,5,11,0
bengals,1993,3,13,0
bengals,1994,3,13,0
bengals,1995,7,9,0
bengals,1996,8,8,0
bengals,1997,7,9,0
bengals,1998,3,13,0
bengals,1999,4,12,0
bengals,2000,4,12,0
bengals,2001,6,10,0
bengals,2002,2,14,0
bengals,2003,8,8,0
bengals,2004,8,8,0
bengals,2005,11,5,0
bengals,2006,8,8,0
bengals,2007,7,9,0
bengals,2008,4,11,1
bengals,2009,10,6,0
bengals,2010,4,12,0
bengals,2011,9,7,0
bengals,2012,10,6,0
browns,1946,12,2,0
browns,1947,12,1,1
browns,1948,14,0,0
browns,1949,9,1,2
browns,1950,10,2,0
browns,1951,11,1,0
browns,1952,8,4,0
browns,1953,11,1,0
browns,1954,9,3,0
browns,1955,9,2,1
browns,1956,5,7,0
browns,1957,9,2,1
browns,1958,9,3,0
browns,1959,7,5,0
browns,1960,8,3,1
browns,1961,8,5,1
browns,1962,7,6,1
browns,1963,10,4,0
browns,1964,10,3,1
browns,1965,11,3,0
browns,1966,9,5,0
browns,1967,9,5,0
browns,1968,10,4,0
browns,1969,10,3,1
browns,1970,7,7,0
browns,1971,9,5,0
browns,1972,10,4,0
browns,1973,7,5,2
browns,1974,4,10,0
browns,1975,3,11,0
browns,1976,9,5,0
browns,1977,6,8,0
browns,1978,8,8,0
browns,1979,9,7,0
browns,1980,11,5,0
browns,1981,5,11,0
browns,1982,4,5,0
browns,1983,9,7,0
browns,1984,5,11,0
browns,1985,8,8,0
browns,1986,12,4,0
browns,1987,10,5,0
browns,1988,10,6,0
browns,1989,9,6,1
browns,1990,3,13,0
browns,1991,6,10,0
browns,1992,7,9,0
browns,1993,7,9,0
browns,1994,11,5,0
browns,1995,5,11,0
browns,1999,2,14,0
browns,2000,3,13,0
browns,2001,7,9,0
browns,2002,9,7,0
browns,2003,5,11,0
browns,2004,4,12,0
browns,2005,6,10,0
browns,2006,4,12,0
browns,2007,10,6,0
browns,2008,4,12,0
browns,2009,5,11,0
browns,2010,5,11,0
browns,2011,4,12,0
browns,2012,5,11,0
cowboys,1960,0,11,1
cowboys,1961,4,9,1
cowboys,1962,5,8,1
cowboys,1963,4,10,0
cowboys,1964,5,8,1
cowboys,1965,7,7,0
cowboys,1966,10,3,1
cowboys,1967,9,5,0
cowboys,1968,12,2,0
cowboys,1969,11,2,1
cowboys,1970,10,4,0
cowboys,1971,11,3,0
cowboys,1972,10,4,0
cowboys,1973,10,4,0
cowboys,1974,8,6,0
cowboys,1975,10,4,0
cowboys,1976,11,3,0
cowboys,1977,12,2,0
cowboys,1978,12,4,0
cowboys,1979,11,5,0
cowboys,1980,12,4,0
cowboys,1981,12,4,0
cowboys,1982,6,3,0
cowboys,1983,12,4,0
cowboys,1984,9,7,0
cowboys,1985,10,6,0
cowboys,1986,7,9,0
cowboys,1987,7,8,0
cowboys,1988,3,13,0
cowboys,1989,1,15,0
cowboys,1990,7,9,0
cowboys,1991,11,5,0
cowboys,1992,13,3,0
cowboys,1993,12,4,0
cowboys,1994,12,4,0
cowboys,1995,12,4,0
cowboys,1996,10,6,0
cowboys,1997,6,10,0
cowboys,1998,10,6,0
cowboys,1999,8,8,0
cowboys,2000,5,11,0
cowboys,2001,5,11,0
cowboys,2002,5,11,0
cowboys,2003,10,6,0
cowboys,2004,6,10,0
cowboys,2005,3,7,0
cowboys,2006,9,4,0
cowboys,2007,13,3,0
cowboys,2008,9,11,0
cowboys,2009,6,5,0
cowboys,2010,6,1,0
cowboys,2011,8,8,0
cowboys,2012,8,8,0
broncos,1960,4,9,1
broncos,1961,3,11,0
broncos,1962,7,7,0
broncos,1963,2,11,1
broncos,1964,2,11,1
broncos,1965,4,10,0
broncos,1966,4,10,0
broncos,1967,3,11,0
broncos,1968,5,9,0
broncos,1969,5,8,1
broncos,1970,5,8,1
broncos,1971,4,9,1
broncos,1972,5,9,0
broncos,1973,7,5,2
broncos,1974,7,6,1
broncos,1975,6,8,0
broncos,1976,9,5,0
broncos,1977,12,2,0
broncos,1978,10,6,0
broncos,1979,10,6,0
broncos,1980,8,8,0
broncos,1981,10,6,0
broncos,1982,2,7,0
broncos,1983,9,7,0
broncos,1984,13,3,0
broncos,1985,11,5,0
broncos,1986,11,5,0
broncos,1987,10,4,1
broncos,1988,8,8,0
broncos,1989,11,5,0
broncos,1990,5,11,0
broncos,1991,12,4,0
broncos,1992,8,8,0
broncos,1993,9,7,0
broncos,1994,7,9,0
broncos,1995,8,8,0
broncos,1996,13,3,0
broncos,1997,12,4,0
broncos,1998,14,2,0
broncos,1999,6,10,0
broncos,2000,11,5,0
broncos,2001,8,8,0
broncos,2002,9,7,0
broncos,2003,10,6,0
broncos,2004,10,6,0
broncos,2005,13,3,0
broncos,2006,9,7,0
broncos,2007,7,9,0
broncos,2008,8,8,0
broncos,2009,8,8,0
broncos,2010,4,12,0
broncos,2011,8,8,0
broncos,2012,13,3,0
lions,1930,5,6,3
lions,1931,11,3,0
lions,1932,6,2,4
lions,1933,6,5,0
lions,1934,10,3,0
lions,1935,7,3,2
lions,1936,8,4,0
lions,1937,7,4,0
lions,1938,7,4,0
lions,1939,6,5,0
lions,1940,5,5,1
lions,1941,4,6,1
lions,1942,0,11,0
lions,1943,3,6,1
lions,1944,6,3,1
lions,1945,7,3,0
lions,1946,1,10,0
lions,1947,3,9,0
lions,1948,2,10,0
lions,1949,4,8,0
lions,1950,6,6,0
lions,1951,7,4,1
lions,1952,9,3,0
lions,1953,10,2,0
lions,1954,9,2,1
lions,1955,3,9,0
lions,1956,9,3,0
lions,1957,8,4,0
lions,1958,4,7,1
lions,1959,3,8,1
lions,1960,7,5,0
lions,1961,8,5,1
lions,1962,11,3,0
lions,1963,5,8,1
lions,1964,7,5,2
lions,1965,6,7,1
lions,1966,4,9,1
lions,1967,5,7,2
lions,1968,4,8,2
lions,1969,9,4,1
lions,1970,10,4,0
lions,1971,7,6,1
lions,1972,8,5,1
lions,1973,6,7,1
lions,1974,7,7,0
lions,1975,7,7,0
lions,1976,6,8,0
lions,1977,6,8,0
lions,1978,7,9,0
lions,1979,2,14,0
lions,1980,9,7,0
lions,1981,8,8,0
lions,1982,4,5,0
lions,1983,9,7,0
lions,1984,4,11,1
lions,1985,7,9,0
lions,1986,5,11,0
lions,1987,4,11,0
lions,1988,4,12,0
lions,1989,7,9,0
lions,1990,6,10,0
lions,1991,12,4,0
lions,1992,5,11,0
lions,1993,10,6,0
lions,1994,9,7,0
lions,1995,10,6,0
lions,1996,5,11,0
lions,1997,9,7,0
lions,1998,5,11,0
lions,1999,8,8,0
lions,2000,9,7,0
lions,2001,2,14,0
lions,2002,3,13,0
lions,2003,5,11,0
lions,2004,6,10,0
lions,2005,5,11,0
lions,2006,3,13,0
lions,2007,7,9,0
lions,2008,0,16,0
lions,2009,2,14,0
lions,2010,6,10,0
lions,2011,10,6,0
lions,2012,4,12,0
packers,1919,10,1,0
packers,1920,9,1,1
packers,1921,3,2,1
packers,1922,4,3,3
packers,1923,7,2,1
packers,1924,7,4,0
packers,1925,8,5,0
packers,1926,7,3,3
packers,1927,7,2,1
packers,1928,6,4,3
packers,1929,12,0,1
packers,1930,10,3,1
packers,1931,12,2,0
packers,1932,10,3,1
packers,1933,5,7,1
packers,1934,7,6,0
packers,1935,8,4,0
packers,1936,10,1,1
packers,1937,7,4,0
packers,1938,8,3,0
packers,1939,9,2,0
packers,1940,6,4,1
packers,1941,10,1,0
packers,1942,8,2,1
packers,1943,7,2,1
packers,1944,8,2,0
packers,1945,6,4,0
packers,1946,6,5,0
packers,1947,6,5,1
packers,1948,3,9,0
packers,1949,2,10,0
packers,1950,3,9,0
packers,1951,3,9,0
packers,1952,6,6,0
packers,1953,2,9,1
packers,1954,4,8,0
packers,1955,6,6,0
packers,1956,4,8,0
packers,1957,3,9,0
packers,1958,1,10,1
packers,1959,7,5,0
packers,1960,8,4,0
packers,1961,11,3,0
packers,1962,13,1,0
packers,1963,11,2,1
packers,1964,8,5,1
packers,1965,10,3,1
packers,1966,12,2,0
packers,1967,9,4,1
packers,1968,6,7,1
packers,1969,8,6,0
packers,1970,6,8,0
packers,1971,4,8,2
packers,1972,10,4,0
packers,1973,5,7,2
packers,1974,6,8,0
packers,1975,4,10,0
packers,1976,5,9,0
packers,1977,4,10,0
packers,1978,8,7,1
packers,1979,5,11,0
packers,1980,5,10,1
packers,1981,8,8,0
packers,1982,5,3,1
packers,1983,8,8,0
packers,1984,8,8,0
packers,1985,8,8,0
packers,1986,4,12,0
packers,1987,5,9,1
packers,1988,4,12,0
packers,1989,10,6,0
packers,1990,6,10,0
packers,1991,4,12,0
packers,1992,9,7,0
packers,1993,9,7,0
packers,1994,9,7,0
packers,1995,11,5,0
packers,1996,13,3,0
packers,1997,13,3,0
packers,1998,11,5,0
packers,1999,8,8,0
packers,2000,9,7,0
packers,2001,12,4,0
packers,2002,12,4,0
packers,2003,10,6,0
packers,2004,10,6,0
packers,2005,4,12,0
packers,2006,8,8,0
packers,2007,13,3,0
packers,2008,6,10,0
packers,2009,11,5,0
packers,2010,10,6,0
packers,2011,15,1,0
packers,2012,11,5,0
texans,2002,4,12,0
texans,2003,5,11,0
texans,2004,7,9,0
texans,2005,2,14,0
texans,2006,6,10,0
texans,2007,8,8,0
texans,2008,8,8,0
texans,2009,9,7,0
texans,2010,6,10,0
texans,2011,10,6,0
texans,2012,12,4,0
